,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9977071732721913
Random Forest,0.956140350877193,0.9318181818181818,0.9534883720930233,0.942528735632184,0.9954143465443825
SVM,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.99737962659679
XGBoost,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9941041598427777
Neural Network,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9931215198165738
