component,explained_variance,cumulative_variance
1,0.4427202560752633,0.4427202560752633
2,0.18971182044033089,0.6324320765155942
3,0.0939316325743138,0.726363709089908
4,0.06602134915470159,0.7923850582446096
5,0.0549576849234627,0.8473427431680722
6,0.040245220398833464,0.8875879635669057
7,0.02250733712982513,0.9100953006967308
8,0.0158872380002133,0.9259825386969441
9,0.01389649374559109,0.9398790324425352
10,0.011689781894131494,0.9515688143366667
