,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.9767441860465116,0.9705882352941176,0.9705882352941176,0.9767441860465117,0.9983031674208145
Random Forest,0.9651162790697675,0.9696969696969697,0.9411764705882353,0.9650220657509792,0.9926470588235293
Linear SVM,0.9767441860465116,0.9705882352941176,0.9705882352941176,0.9767441860465117,0.998868778280543
Gradient-Boosted Trees,0.9534883720930233,0.9411764705882353,0.9411764705882353,0.9534883720930233,0.9869909502262443
Neural Network,0.9418604651162791,0.9142857142857143,0.9411764705882353,0.9419995353418347,0.9796380090497737
